date,Cadangan Devisa BI Menurut Jenis,Pertumbuhan PDB Harga Konstan Menurut Lapangan Usaha Sektoral (Triwulanan YoY),Total Nilai Ekspor Bulanan,Total Nilai Impor Bulanan,Terakhir,Tertinggi,Terendah
2015-01-31,114250.0,4.83,13244900000.0,12612300000.0,12665.0,12757.5,12410.0
2015-02-28,115527.0,4.83,12172800000.0,11510100000.0,12920.0,12945.0,12587.5
2015-03-31,111554.0,4.83,13634000000.0,12608700000.0,13070.0,13248.0,12900.0
2015-04-30,110867.0,4.83,13104600000.0,12626300000.0,12960.0,13077.5,12805.0
2015-05-31,110771.0,4.83,12754700000.0,11613600000.0,13223.0,13243.0,12976.0
2015-06-30,108030.0,4.74,13514100000.0,12978100000.0,13330.0,13388.5,13192.0
2015-07-31,107553.0,4.74,11465800000.0,10081900000.0,13525.0,13530.0,13280.0
2015-08-31,105346.0,4.74,12726000000.0,12399200000.0,14045.0,14140.0,13474.5
2015-09-30,101720.0,4.78,12588400000.0,11558600000.0,14645.0,14740.0,14052.5
2015-10-31,100712.0,4.78,12121700000.0,11108900000.0,13675.0,14710.0,13225.0
2015-11-30,100240.0,4.78,11122200000.0,11519500000.0,13830.0,13847.5,13430.0
2015-12-31,105931.0,5.15,11917100000.0,12077300000.0,13785.0,14095.0,13555.0
2016-01-31,102134.0,5.15,10581900000.0,10467000000.0,13770.0,13987.5,13755.0
2016-02-29,104544.0,5.15,11316700000.0,10175600000.0,13367.0,13825.0,13297.5
2016-03-31,107543.0,4.94,11812100000.0,11301700000.0,13255.0,13440.0,12975.0
2016-04-30,107711.0,4.94,11689700000.0,10813600000.0,13180.0,13252.5,13085.0
2016-05-31,103591.0,4.94,11517400000.0,11140700000.0,13655.0,13695.0,13140.0
2016-06-30,109789.0,5.21,13206100000.0,12095200000.0,13210.0,13800.0,13140.0
2016-07-31,111409.0,5.21,9649500000.0,9017200000.0,13097.0,13192.5,13071.5
2016-08-31,113538.0,5.21,12701700000.0,12385200000.0,13265.0,13308.0,13065.0
2016-09-30,115671.0,5.03,12579800000.0,11297500000.0,13047.0,13284.0,12920.0
2016-10-31,115037.0,5.03,12743700000.0,11507200000.0,13047.0,13080.0,12955.0
2016-11-30,111466.0,5.03,13502900000.0,12669400000.0,13550.0,13587.5,13030.0
2016-12-31,116362.0,4.94,13832400000.0,12782500000.0,13470.0,13592.5,13275.0
2017-01-31,116890.0,4.94,13397700000.0,11973800000.0,13347.0,13497.5,13270.0
2017-02-28,119863.0,4.94,12616000000.0,11359400000.0,13331.0,13387.5,13290.0
2017-03-31,121806.0,5.01,14718500000.0,13283200000.0,13323.0,13397.5,13297.5
2017-04-30,123249.0,5.01,13269700000.0,11950600000.0,13327.0,13347.5,13250.5
2017-05-31,124953.0,5.01,14333900000.0,13772500000.0,13321.0,13420.0,13287.0
2017-06-30,123094.0,5.01,11661400000.0,9991600000.0,13325.0,13327.5,13274.0
2017-07-31,127759.0,5.01,13611100000.0,13889800000.0,13324.0,13412.5,13297.5
2017-08-31,128787.0,5.01,15188000000.0,13509200000.0,13342.0,13382.5,13301.0
2017-09-30,129402.0,5.06,14580200000.0,12788200000.0,13470.0,13555.0,13140.0
2017-10-31,126547.0,5.06,15252600000.0,14249200000.0,13560.0,13645.0,13457.5
2017-11-30,125967.0,5.06,15334700000.0,15113500000.0,13524.0,13596.5,13470.0
2017-12-31,130196.0,5.19,14864500000.0,15104500000.0,13565.0,13595.0,13511.5
2018-01-31,131980.0,5.19,14576300000.0,15309400000.0,13387.0,13555.0,13267.5
